front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,right_angle,wall_error,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
66,-3,80,-2,400,0,-320,139.70,0,0,1,0,1,0
63,-3,79,-1,37,-363,42,11.01,0,0,1,0,0,1
61,-2,78,-1,78,41,0,25.15,0,0,1,0,0,1
60,-1,76,-2,80,2,-4,25.15,0,0,1,0,0,1
59,-1,74,-2,37,-43,37,9.24,0,0,1,0,0,1
60,1,62,-12,69,32,-7,16.32,0,0,1,0,0,1
59,-1,70,8,53,-16,17,13.49,0,0,1,0,0,1
306,247,68,-2,72,19,-4,19.50,0,0,1,0,0,1
69,-237,66,-2,56,-16,10,13.13,0,1,0,0,0,1
65,-4,94,28,85,29,9,33.29,0,1,0,0,1,0
62,-3,92,-2,87,2,5,33.29,0,1,0,0,1,0
59,-3,91,-1,89,2,2,33.64,0,1,0,0,1,0
57,-2,89,-2,90,1,-1,33.29,0,1,0,0,1,0
55,-2,86,-3,92,2,-6,32.93,0,1,0,0,1,0
53,-2,85,-1,94,2,-9,33.29,0,1,0,0,1,0
51,-2,82,-3,96,2,-14,32.93,0,0,1,0,1,0
48,-3,82,0,99,3,-17,33.99,0,1,0,0,0,1
46,-2,79,-3,85,-14,-6,27.98,0,1,0,0,1,0
43,-3,77,-2,87,2,-10,27.98,0,1,0,0,1,0
41,-2,76,-1,89,2,-13,28.34,0,1,0,0,1,0
39,-2,74,-2,90,1,-16,27.98,0,1,0,0,1,0
37,-2,400,326,94,4,306,144.65,0,1,0,0,1,0
35,-2,400,0,96,2,304,145.36,0,1,0,0,1,0
31,-4,400,0,99,3,301,146.42,0,1,0,0,1,0
27,-4,400,0,102,3,298,147.48,1,0,0,0,1,0
24,-3,62,-338,51,-51,11,9.95,0,1,0,1,0,0
22,-2,59,-3,36,-15,23,3.59,1,0,0,0,1,0
21,-1,57,-2,32,-4,25,1.47,1,0,0,1,0,0
19,-2,21,-36,30,-2,-9,-11.97,1,0,0,1,0,0
18,-1,17,-4,30,0,-13,-13.38,1,0,0,1,0,0
17,-1,16,-1,30,0,-14,-13.74,1,0,0,1,0,0
18,1,16,0,29,-1,-13,-14.09,1,0,0,1,0,0
18,0,14,-2,31,2,-17,-14.09,1,0,0,1,0,0
95,77,15,1,32,1,-17,-13.38,1,0,0,1,0,0
152,57,13,-2,34,2,-21,-13.38,1,0,0,1,0,0
56,-96,13,0,36,2,-23,-12.68,1,0,0,1,0,0
54,-2,13,0,37,1,-24,-12.32,1,0,0,1,0,0
51,-3,16,3,40,3,-24,-10.20,1,0,0,1,0,0
50,-1,17,1,57,17,-40,-3.84,1,0,0,1,0,0
171,121,17,0,17,-40,0,-17.98,1,0,0,1,0,0
164,-7,50,33,16,-1,34,-6.67,0,1,0,1,0,0
160,-4,46,-4,14,-2,32,-8.79,0,1,0,0,1,0
157,-3,185,139,15,1,170,40.71,0,1,0,0,1,0
154,-3,45,-140,16,1,29,-8.43,0,1,0,0,1,0
152,-2,43,-2,16,0,27,-9.14,0,1,0,0,1,0
149,-3,44,1,17,1,27,-8.43,0,1,0,0,1,0
147,-2,43,-1,17,0,26,-8.79,0,1,0,0,1,0
145,-2,43,0,17,0,26,-8.79,0,1,0,0,1,0
142,-3,38,-5,19,2,19,-9.85,0,0,1,0,1,0
140,-2,40,2,20,1,20,-8.79,0,0,1,0,0,1
138,-2,239,199,22,2,217,62.28,0,1,0,0,0,1
138,0,241,2,23,1,218,63.34,0,1,0,0,1,0
136,-2,36,-205,23,0,13,-9.14,0,1,0,0,1,0
135,-1,36,0,23,0,13,-9.14,0,1,0,0,1,0
139,4,31,-5,24,1,7,-10.55,0,1,0,0,1,0
137,-2,30,-1,25,1,5,-10.55,0,1,0,0,1,0
134,-3,33,3,25,0,8,-9.49,0,1,0,0,1,0
132,-2,33,0,25,0,8,-9.49,0,1,0,0,1,0
130,-2,31,-2,25,0,6,-10.20,0,1,0,0,1,0
127,-3,31,0,26,1,5,-9.85,0,1,0,0,1,0
126,-1,87,56,27,1,60,10.30,0,1,0,0,1,0
122,-4,86,-1,27,0,59,9.95,0,0,1,0,1,0
120,-2,86,0,27,0,59,9.95,0,0,1,0,0,1
118,-2,223,137,29,2,194,59.09,0,1,0,0,0,1
117,-1,84,-139,99,70,-15,34.70,0,1,0,0,1,0
115,-2,82,-2,93,-6,-11,31.87,0,1,0,0,1,0
113,-2,82,0,88,-5,-6,30.10,0,1,0,0,1,0
110,-3,81,-1,95,7,-14,32.22,0,1,0,0,1,0
108,-2,81,0,87,-8,-6,29.40,0,1,0,0,1,0
106,-2,80,-1,95,8,-15,31.87,0,0,1,0,1,0
104,-2,79,-1,88,-7,-9,29.04,0,0,1,0,0,1
101,-3,78,-1,84,-4,-6,27.28,0,0,1,0,0,1
100,-1,76,-2,84,0,-8,26.57,0,0,1,0,0,1
100,0,75,-1,88,4,-13,27.63,0,0,1,0,0,1
140,40,73,-2,36,-52,37,8.54,0,0,1,0,0,1
155,15,71,-2,57,21,14,15.25,0,0,1,0,0,1
154,-1,69,-2,59,2,10,15.25,0,0,1,0,0,1
71,-83,67,-2,61,2,6,15.25,0,1,0,0,0,1
68,-3,66,-1,61,0,5,14.90,0,1,0,0,1,0
66,-2,64,-2,73,12,-9,18.44,0,1,0,0,1,0
63,-3,62,-2,60,-13,2,13.13,0,1,0,0,1,0
62,-1,60,-2,76,16,-16,18.08,0,1,0,0,1,0
60,-2,58,-2,50,-26,8,8.18,0,1,0,0,1,0
58,-2,57,-1,37,-13,20,3.23,0,0,1,0,1,0
56,-2,55,-2,41,4,14,3.94,0,0,1,0,0,1
55,-1,53,-2,37,-4,16,1.82,0,0,1,0,0,1
53,-2,51,-2,51,14,0,6.06,0,0,1,0,0,1
51,-2,50,-1,39,-12,11,1.47,0,1,0,0,0,1
50,-1,49,-1,39,0,10,1.11,0,1,0,0,1,0
47,-3,47,-2,62,23,-15,8.54,0,1,0,0,1,0
45,-2,45,-2,40,-22,5,0.05,0,1,0,0,1,0
44,-1,43,-2,36,-4,7,-2.07,0,1,0,0,1,0
41,-3,41,-2,36,0,5,-2.78,0,1,0,0,1,0
40,-1,40,-1,31,-5,9,-4.90,1,0,0,0,1,0
37,-3,37,-3,30,-1,7,-6.31,1,0,0,1,0,0
37,0,36,-1,30,0,6,-6.67,1,0,0,1,0,0
37,0,35,-1,32,2,3,-6.31,1,0,0,1,0,0
36,-1,33,-2,32,0,1,-7.02,0,1,0,1,0,0
128,92,32,-1,33,1,-1,-7.02,0,1,0,0,1,0
126,-2,30,-2,35,2,-5,-7.02,0,1,0,0,1,0
124,-2,29,-1,38,3,-9,-6.31,1,0,0,0,1,0
121,-3,28,-1,38,0,-10,-6.67,1,0,0,1,0,0
119,-2,28,0,40,2,-12,-5.96,0,1,0,1,0,0
117,-2,29,1,42,2,-13,-4.90,1,0,0,0,1,0
99,-18,27,-2,44,2,-17,-4.90,1,0,0,1,0,0
96,-3,27,0,47,3,-20,-3.84,1,0,0,1,0,0
93,-3,29,2,49,2,-20,-2.42,0,1,0,1,0,0
91,-2,28,-1,52,3,-24,-1.72,0,1,0,0,1,0
88,-3,29,1,57,5,-28,0.41,0,1,0,0,1,0
86,-2,29,0,56,-1,-27,0.05,0,1,0,0,1,0
84,-2,29,0,59,3,-30,1.11,0,1,0,0,1,0
82,-2,29,0,61,2,-32,1.82,0,1,0,0,1,0
80,-2,30,1,67,6,-37,4.29,0,1,0,0,1,0
77,-3,31,1,71,4,-40,6.06,0,1,0,0,1,0
75,-2,30,-1,72,1,-42,6.06,0,1,0,0,1,0
73,-2,96,66,76,4,20,30.81,0,1,0,0,1,0
70,-3,93,-3,78,2,15,30.46,0,1,0,0,1,0
68,-2,92,-1,81,3,11,31.16,0,1,0,0,1,0
66,-2,89,-3,116,35,-27,42.48,0,1,0,0,1,0
63,-3,88,-1,117,1,-29,42.48,0,1,0,0,1,0
61,-2,78,-10,61,-56,17,19.14,0,1,0,0,1,0
59,-2,75,-3,117,56,-42,37.88,0,1,0,0,1,0
57,-2,73,-2,117,0,-44,37.17,0,1,0,0,1,0
55,-2,71,-2,61,-56,10,16.67,0,1,0,0,1,0
53,-2,70,-1,120,59,-50,37.17,0,1,0,0,1,0
51,-2,68,-2,30,-90,38,4.65,0,1,0,0,1,0
50,-1,66,-2,29,-1,37,3.59,0,1,0,0,1,0
48,-2,64,-2,30,1,34,3.23,0,1,0,0,1,0
45,-3,62,-2,121,91,-59,34.70,0,1,0,0,1,0

