front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,right_angle,wall_error,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
77,-323,37,19,22,-81,15,-9.14,0,1,0,0,1,0
60,-17,16,-21,30,8,-14,-13.74,0,1,0,0,1,0
70,10,30,14,56,26,-26,0.41,0,1,0,0,1,0
37,-33,16,-14,19,-37,-3,-17.63,0,1,0,0,1,0
56,19,19,3,30,11,-11,-12.68,0,1,0,0,1,0
56,0,18,-1,26,-4,-8,-14.44,0,1,0,0,1,0
56,0,27,9,30,4,-3,-9.85,0,1,0,0,1,0
50,-6,26,-1,57,27,-31,-0.66,0,1,0,0,1,0
92,42,26,0,40,-17,-14,-6.67,0,1,0,0,1,0
56,-36,30,4,56,16,-26,0.41,0,1,0,0,1,0
56,0,28,-2,55,-1,-27,-0.66,0,1,0,0,1,0
70,14,24,-4,55,0,-31,-2.07,0,1,0,0,1,0
59,-11,22,-2,37,-18,-15,-9.14,0,1,0,0,1,0
70,11,24,2,27,-10,-3,-11.97,0,1,0,0,1,0
101,31,24,0,65,38,-41,1.47,0,1,0,0,1,0
38,-63,22,-2,29,-36,-7,-11.97,0,1,0,0,1,0
57,19,24,2,18,-11,6,-15.15,0,1,0,0,1,0
47,-10,23,-1,23,5,0,-13.74,1,0,0,0,1,0
90,43,22,-1,30,7,-8,-11.62,0,1,0,1,0,0
57,-33,21,-1,21,-9,0,-15.15,0,1,0,0,1,0
26,-31,24,3,80,59,-56,6.77,0,1,0,0,1,0
58,32,21,-3,29,-51,-8,-12.32,1,0,0,0,1,0
44,-14,23,2,56,27,-33,-2.07,1,0,0,1,0,0
55,11,26,3,24,-32,2,-12.32,1,0,0,1,0,0
40,-15,27,1,16,-8,11,-14.80,0,1,0,1,0,0
31,-9,41,14,17,1,24,-9.49,0,1,0,0,1,0
60,29,17,-24,22,5,-5,-16.21,0,1,0,0,1,0
57,-3,19,2,24,2,-5,-14.80,0,1,0,0,1,0
36,-21,24,5,24,0,0,-13.03,0,1,0,0,1,0
55,19,39,15,16,-8,23,-10.55,0,1,0,0,1,0
54,-1,23,-16,22,6,1,-14.09,0,1,0,0,1,0
55,1,43,20,27,5,16,-5.25,0,1,0,0,1,0
53,-2,42,-1,23,-4,19,-7.02,0,0,1,0,1,0
51,-2,18,-24,19,-4,-1,-16.92,0,1,0,0,0,1
37,-14,20,2,24,5,-4,-14.44,0,1,0,0,1,0
36,-1,16,-4,30,6,-14,-13.74,0,1,0,0,1,0
45,9,36,20,19,-11,17,-10.55,0,1,0,0,1,0
50,5,45,9,36,17,9,-1.36,0,1,0,0,1,0
43,-7,43,-2,17,-19,26,-8.79,0,1,0,0,1,0
64,21,30,-13,30,13,0,-8.79,0,1,0,0,1,0
60,-4,30,0,30,0,0,-8.79,0,1,0,0,1,0
63,3,31,1,29,-1,2,-8.79,0,1,0,0,1,0
58,-5,29,-2,30,1,-1,-9.14,0,1,0,0,1,0
42,-16,29,0,29,-1,0,-9.49,0,1,0,0,1,0
56,14,28,-1,30,1,-2,-9.49,1,0,0,0,1,0
400,344,30,2,16,-14,14,-13.74,0,1,0,1,0,0
68,-332,30,0,34,18,-4,-7.37,0,1,0,0,1,0
36,-32,30,0,17,-17,13,-13.38,0,1,0,0,1,0
57,21,30,0,36,19,-6,-6.67,0,1,0,0,1,0
18,-39,36,6,29,-7,7,-7.02,0,1,0,0,1,0
67,49,16,-20,16,-13,0,-18.69,0,1,0,0,1,0
44,-23,52,36,29,13,23,-1.36,0,1,0,0,1,0
42,-2,29,-23,36,7,-7,-7.02,0,1,0,0,1,0
37,-5,56,27,30,-6,26,0.41,0,1,0,0,1,0
37,0,32,-24,29,-1,3,-8.43,0,1,0,0,1,0
67,30,21,-11,30,1,-9,-11.97,0,1,0,0,1,0
65,-2,30,9,22,-8,8,-11.62,0,1,0,0,1,0
70,5,30,0,17,-5,13,-13.38,0,1,0,0,1,0
62,-8,30,0,30,13,0,-8.79,0,1,0,0,1,0
37,-25,62,32,18,-12,44,-1.72,0,1,0,0,1,0
36,-1,37,-25,16,-2,21,-11.26,0,1,0,0,1,0
56,20,29,-8,30,14,-1,-9.14,0,0,1,0,1,0
51,-5,16,-13,33,3,-17,-12.68,0,0,1,0,0,1
51,0,30,14,17,-16,13,-13.38,0,0,1,0,0,1
53,2,56,26,29,12,27,0.05,0,1,0,0,0,1
56,3,40,-16,43,14,-3,-0.66,0,1,0,0,1,0
37,-19,22,-18,18,-25,4,-15.86,0,1,0,0,1,0
54,17,21,-1,27,9,-6,-13.03,0,1,0,0,1,0
56,2,58,37,56,29,2,10.30,0,1,0,0,1,0
68,12,18,-40,38,-18,-20,-10.20,0,1,0,0,1,0
56,-12,18,0,56,18,-38,-3.84,0,1,0,0,1,0
50,-6,41,23,30,-26,11,-4.90,0,1,0,0,1,0
36,-14,17,-24,27,-3,-10,-14.44,0,1,0,0,1,0
47,11,20,3,37,10,-17,-9.85,0,1,0,0,1,0
36,-11,18,-2,29,-8,-11,-13.38,0,1,0,0,1,0
43,7,33,15,29,0,4,-8.08,0,0,1,0,1,0
40,-3,33,0,29,0,4,-8.08,0,0,1,0,0,1
37,-3,29,-4,32,3,-3,-8.43,0,1,0,0,0,1
37,0,34,5,36,4,-2,-5.25,0,1,0,0,1,0
400,363,26,-8,36,0,-10,-8.08,0,1,0,0,1,0
56,-344,32,6,36,0,-4,-5.96,0,1,0,0,1,0
50,-6,19,-13,38,2,-19,-9.85,0,1,0,0,1,0
36,-14,32,13,29,-9,3,-8.43,0,1,0,0,1,0
56,20,28,-4,40,11,-12,-5.96,0,1,0,0,1,0
53,-3,37,9,17,-23,20,-10.91,0,1,0,0,1,0
400,347,16,-21,17,0,-1,-18.33,0,1,0,0,1,0
202,-198,16,0,30,13,-14,-13.74,0,1,0,0,1,0
65,-137,23,7,43,13,-20,-6.67,0,1,0,0,1,0
61,-4,33,10,17,-26,16,-12.32,0,1,0,0,1,0
43,-18,36,3,31,14,5,-6.31,0,1,0,0,1,0
60,17,37,1,20,-11,17,-9.85,0,1,0,0,1,0
53,-7,32,-5,36,16,-4,-5.96,0,1,0,0,1,0
56,3,16,-16,31,-5,-15,-13.38,0,1,0,0,1,0
50,-6,34,18,17,-14,17,-11.97,0,1,0,0,1,0
400,350,19,-15,33,16,-14,-11.62,0,1,0,0,1,0
95,-305,16,-3,19,-14,-3,-17.63,0,1,0,0,1,0
39,-56,36,20,35,16,1,-4.90,0,1,0,0,1,0
400,361,22,-14,38,3,-16,-8.79,0,1,0,0,1,0
37,-363,35,13,18,-20,17,-11.26,0,1,0,0,1,0
33,-4,16,-19,16,-2,0,-18.69,0,1,0,0,1,0
30,-3,43,27,32,16,11,-3.48,0,1,0,0,1,0
29,-1,34,-9,22,-10,12,-10.20,0,1,0,0,1,0
50,21,32,-2,21,-1,11,-11.26,0,1,0,0,1,0
122,72,35,3,35,14,0,-5.25,0,1,0,0,1,0
400,278,33,-2,29,-6,4,-8.08,0,1,0,0,1,0
61,-339,36,3,29,0,7,-7.02,0,1,0,0,1,0
116,55,30,-6,21,-8,9,-11.97,0,1,0,0,1,0
57,-59,33,3,16,-5,17,-12.68,0,1,0,0,1,0
400,343,18,-15,24,8,-6,-15.15,0,1,0,0,1,0
37,-363,29,11,19,-5,10,-13.03,0,1,0,0,1,0

